,well id,well name,analysis date,formation,sample depth,kmax,kmax-h,k90,kvert,porosity,grain density,bulk density,lithology description
2097,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3920.22,1.63,0.39,1.32,0.43,0.027,2820.0,2740.0,"dol,intgran,ppv,sv,anhy,carb"
2098,300F386030123450,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4388.72,1.54,0.18,1.32,1.41,0.013,2830.0,2790.0,"sv,ppv,sty"
2099,300F386030123451,AMOCO POINTED MOUNTAIN (B-2) F-38,9/25/1973,Dnahanni,4388.72,1.54,0.18,1.32,1.41,0.013,2830.0,2790.0,"sv,ppv,sty"
2101,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3674.39,3.63,1.34,1.31,0.11,0.009,2850.0,2820.0,sv f
2102,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3740.11,3.61,1.08,1.31,0.12,0.014,2850.0,2810.0,sv f
2103,300E376010124000,DEVON KOTANEELEE YT E-37,10/19/1978,Dnahanni,3944.48,1.8,0.61,1.31,0.68,0.02,2810.0,2750.0,"dol,intgran,ppv,sv,anhy,carb"
2104,300B386010124000,DEVON KOTANEELEE YT B-38,11/21/1977,Dnahanni,3891.02,1.59,0.24,1.31,0.09,0.013,2860.0,2820.0,few sv ppv i a
2105,300I486010124000,DEVON KOTANEELEE YT I-48,3/14/1980,Dnahanni,3756.52,5.24,0.94,1.3,0.17,0.054,2850.0,2700.0,"dol,intgran,ppv,sv,frac"
2106,300P536030123450,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3939.24,3.4,0.82,1.3,0.27,0.041,2870.0,2760.0,"sv,ppv,intgran,frac"
2107,300P536030123451,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3939.24,3.4,0.82,1.3,0.27,0.041,2870.0,2760.0,"sv,ppv,intgran,frac"
2108,300P536030123452,APACHE POINTED MOUNTAIN P-53,3/23/1967,Dnahanni,3939.24,3.4,0.82,1.3,0.27,0.041,2870.0,2760.0,"sv,ppv,intgran,frac"
2109,300P536030123453,PAN AM POINTED MOUNTAIN P-53A,3/23/1967,Dnahanni,3939.24,3.4,0.82,1.3,0.27,0.041,2870.0,2760.0,sv. ppv. i. f.
